#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
1,A,大区分A,Broad Section A,47,06,中区分6:政治学およびその関連分野,Medium-sized Section 6:Political science and related fields,49,06020,小区分06020:国際関係論関連,Basic Section 06020:International relations-related
1,A,大区分A,Broad Section A,47,06,中区分6:政治学およびその関連分野,Medium-sized Section 6:Political science and related fields,36,80010,小区分80010:地域研究関連,Basic Section 80010:Area studies-related
1,A,大区分A,Broad Section A,47,06,中区分6:政治学およびその関連分野,Medium-sized Section 6:Political science and related fields,38,80030,小区分80030:ジェンダー関連,Basic Section 80030:Gender studies-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",51,07010,小区分07010:理論経済学関連,Basic Section 07010:Economic theory-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",52,07020,小区分07020:経済学説および経済思想関連,Basic Section 07020:Economic doctrines and economic thought-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",53,07030,小区分07030:経済統計関連,Basic Section 07030:Economic statistics-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",54,07040,小区分07040:経済政策関連,Basic Section 07040:Economic policy-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",55,07050,小区分07050:公共経済および労働経済関連,Basic Section 07050:Public economics and labor economics-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",56,07060,小区分07060:金融およびファイナンス関連,Basic Section 07060:Money and finance-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",57,07070,小区分07070:経済史関連,Basic Section 07070:Economic history-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",58,07080,小区分07080:経営学関連,Basic Section 07080:Business administration-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",59,07090,小区分07090:商学関連,Basic Section 07090:Commerce-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",60,07100,小区分07100:会計学関連,Basic Section 07100:Accounting-related
1,A,大区分A,Broad Section A,50,07,中区分7:経済学、経営学およびその関連分野,"Medium-sized Section 7:Economics, business administration, and related fields",37,80020,小区分80020:観光学関連,Basic Section 80020:Tourism studies-related
1,A,大区分A,Broad Section A,61,08,中区分8:社会学およびその関連分野,Medium-sized Section 8:Sociology and related fields,62,08010,小区分08010:社会学関連,Basic Section 08010:Sociology-related
1,A,大区分A,Broad Section A,61,08,中区分8:社会学およびその関連分野,Medium-sized Section 8:Sociology and related fields,63,08020,小区分08020:社会福祉学関連,Basic Section 08020:Social welfare-related
1,A,大区分A,Broad Section A,61,08,中区分8:社会学およびその関連分野,Medium-sized Section 8:Sociology and related fields,64,08030,小区分08030:家政学および生活科学関連,"Basic Section 08030:Family and consumer sciences, and culture and living-related"
1,A,大区分A,Broad Section A,61,08,中区分8:社会学およびその関連分野,Medium-sized Section 8:Sociology and related fields,37,80020,小区分80020:観光学関連,Basic Section 80020:Tourism studies-related
1,A,大区分A,Broad Section A,61,08,中区分8:社会学およびその関連分野,Medium-sized Section 8:Sociology and related fields,38,80030,小区分80030:ジェンダー関連,Basic Section 80030:Gender studies-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,21,02090,小区分02090:日本語教育関連,Basic Section 02090:Japanese language education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,22,02100,小区分02100:外国語教育関連,Basic Section 02100:Foreign language education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,66,09010,小区分09010:教育学関連,Basic Section 09010:Education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,67,09020,小区分09020:教育社会学関連,Basic Section 09020:Sociology of education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,68,09030,小区分09030:子ども学および保育学関連,Basic Section 09030:Childhood and nursery/pre-school education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,69,09040,小区分09040:教科教育学および初等中等教育学関連,Basic Section 09040:Education on school subjects and primary/secondary education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,70,09050,小区分09050:高等教育学関連,Basic Section 09050:Tertiary education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,71,09060,小区分09060:特別支援教育関連,Basic Section 09060:Special needs education-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,72,09070,小区分09070:教育工学関連,Basic Section 09070:Educational technology-related
1,A,大区分A,Broad Section A,65,09,中区分9:教育学およびその関連分野,Medium-sized Section 9:Education and related fields,73,09080,小区分09080:科学教育関連,Basic Section 09080:Science education-related
1,A,大区分A,Broad Section A,74,10,中区分10:心理学およびその関連分野,Medium-sized Section 10:Psychology and related fields,75,10010,小区分10010:社会心理学関連,Basic Section 10010:Social psychology-related
