#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
382729,34322,34322,嵯峨美術大学,Saga University of Arts,サガビジュツダイガク
0032707,32707,32707,相模女子大学,Sagami Women's University,サガミジョシダイガク
0032205,32205,32205,作新学院大学,Sakushin Gakuin University,サクシンガクインダイガク
0033606,33606,33606,佐久大学,Saku University,サクダイガク
0030125,30125,30125,札幌大谷大学,Sapporo Otani University,サッポロオオタニダイガク
0030103,30103,30103,札幌学院大学,Sapporo Gakuin University,サッポロガクインダイガク
0030116,30116,30116,札幌国際大学,Sapporo International University,サッポロコクサイダイガク
0030102,30102,30102,札幌大学,Sapporo University,サッポロダイガク
0030126,30126,30126,札幌保健医療大学,Sapporo University of Health Sciences,サッポロホケンイリョウダイガク
0032528,32528,32528,三育学院大学,Saniku Gakuin College,サンイクガクインダイガク
0037116,37116,37116,産業医科大学,"University of Occupational and Environmental Health, Japan",サンギョウイカダイガク
0032715,32715,32715,産業能率大学,The SANNO Institute of manegement,サンギョウノウリツダイガク
0035310,35310,35310,山陽学園大学,Sanyo Gakuen University,サンヨウガクエンダイガク
0037703,37703,37703,志學館大学,Shigakukan University,シガクカンダイガク
0133909,33909,33909,至学館大学,Shigakkan University,シガッカンダイガク
0036201,36201,36201,四国学院大学,Shikoku Gakuin University,シコクガクインダイガク
0036101,36101,36101,四国大学,Shikoku University,シコクダイガク
0034444,34444,34444,四條畷学園大学,Shijonawate Gakuen University,シジョウナワテガクエンダイガク
0033808,33808,33808,静岡英和学院大学,Shizuoka Eiwa Gakuin University,シズオカエイワガクインダイガク
0033805,33805,33805,静岡産業大学,Shizuoka Sangyo University,シズオカサンギョウダイガク
0033809,33809,33809,静岡福祉大学,Shizuoka University of Welfare,シズオカフクシダイガク
0033803,33803,33803,静岡理工科大学,Shizuoka Institute of Science and Technology,シズオカリコウカダイガク
0235505,35505,35505,至誠館大学,Shiseikan Hall University,シセイカンダイガク
0134420,34420,34420,四天王寺大学,Shitennoji University,シテンノウジダイガク
0032619,32619,32619,芝浦工業大学,Shibaura Institute of Technology,シバウラコウギョウダイガク
382832,32825,,社会情報大学院大学,The Graduate School of Information & Communication,シャカイジョウホウダイガクインダイガク
0035307,35307,35307,就実大学,Shujitsu University,シュウジツダイガク
0033942,33942,33942,修文大学,Shubun University,シュウブンダイガク
0132513,32513,32513,秀明大学,Shumei University,シュウメイダイガク
0032501,32501,32501,淑徳大学,Shukutoku University,シュクトクダイガク
0034308,34308,34308,種智院大学,Shuchiin University,シュチインダイガク
0032719,32719,32719,松蔭大学,Shoin University,ショウインダイガク
0031311,31311,31311,尚絅学院大学,Shokei Gakuin College,ショウケイガクインダイガク
0037404,37404,37404,尚絅大学,Shokei University,ショウケイダイガク
383068,32729,,湘南鎌倉医療大学,Shonan Kamakura University of Medical Sciences,ショウナンカマクライリョウダイガク
0032706,32706,32706,湘南工科大学,Shonan Institute of Technology,ショウナンコウカダイガク
