Rank	Organisms	Nucleotides	Entries
231	Anas platyrhynchos	2342082371	256893
232	Panthera tigris altaica	2333247815	157599
233	Manacus vitellinus	2329445362	153495
234	Delphinapterus leucas	2327228991	35884
235	Mus pahari	2320042351	18010
236	Lepeophtheirus salmonis	2307629819	561725
237	Odobenus rosmarus divergens	2300282451	70699
238	Pogona vitticeps	2299790592	1141241
239	Colinus virginianus	2296954060	418650
240	Magnaporthe oryzae	2295081804	393352
241	Balaenoptera acutorostrata scammoni	2286677237	184092
242	Fukomys damarensis	2286097364	162652
243	Ellobius talpinus	2266092846	350472
244	Falco peregrinus	2265753520	83995
245	Gossypium barbadense	2261332972	305502
246	Rhipicephalus microplus	2255152375	681866
247	Orcinus orca	2252508078	80554
248	Sorex araneus	2249729763	202950
249	Hipposideros armiger	2237000221	8044
250	Physeter catodon	2235300181	110947
251	Gallus gallus	2224413064	1074888
252	Leptonychotes weddellii	2223613038	170257
253	Balaenoptera bonaerensis	2220987147	722447
254	Brassica napus	2209219719	977737
255	Alligator sinensis	2200061700	177619
256	Tupaia belangeri	2195134943	844289
257	Arabidopsis thaliana	2183131866	2689323
258	Burkholderia ubonensis	2178255262	35551
259	Chrysemys picta bellii	2175224119	262522
260	Hydra vulgaris	2175105585	656060
261	Conus tribblei	2160591630	1126408
262	activated sludge metagenome	2128027577	3101743
263	Eucidaris tribuloides	2126318620	1091826
264	Salmonella enterica subsp. enterica serovar Enteritidis	2123831841	26499
265	Eulemur macaco	2120184424	26883
266	Drosophila melanogaster	2119296739	1289216
267	Eulemur flavifrons	2115639374	38472
268	Microtus ochrogaster	2114248698	190988
269	Chelonia mydas	2111106154	275288
270	Pelodiscus sinensis	2107270424	206189
271	Columba livia	2107029959	106182
272	Corvus cornix cornix	2092375541	258
273	Propithecus coquereli	2083887786	299248
274	Rhinolophus sinicus	2073888752	64269
275	Dipodomys ordii	2065358362	148255
276	Rhinolophus ferrumequinum	2064822325	388687
277	Ixodes scapularis	2063819421	1373325
278	Nicotiana sylvestris	2059476504	412665
279	Pteropus vampyrus	2054044206	225760
280	Phodopus sungorus	2036292655	1475265
281	Ara macao	2033576976	787202
282	Zonotrichia albicollis	2027077663	871861
283	Caridina multidentata	2019922141	2887857
284	Myotis lucifugus	2010007988	75007
285	Vicugna pacos huacaya	2001178849	75735
286	Manis pentadactyla	1999202875	231100
287	Camelus ferus	1985483467	68893
288	Elaeis guineensis	1984853096	918360
289	Octopus bimaculoides	1984409411	700240
290	Myotis brandtii	1981909243	325570
291	Rousettus aegyptiacus	1978837292	26953
292	Nanorana parkeri	1978290386	148392
293	Apteronotus leptorhynchus	1972318998	1233338
294	Cannabis sativa	1964257043	588538
295	Pteronotus parnellii	1947416245	444240
296	Burkholderia cenocepacia	1947212586	49198
297	Pteropus alecto	1946232902	170239
298	Ornithorhynchus anatinus	1923999062	456711
299	Macrostomum lignano	1907343158	120904
300	Escherichia coli O26:H11	1896978923	107738
301	Myotis davidii	1878578133	325392
302	Apalone spinifera	1878096881	827159
303	Bacillus thuringiensis	1857020640	62043
304	Spodoptera frugiperda	1845573524	946762
305	Vibrio cholerae	1844745556	72099
306	Streptococcus suis	1843046665	60318
307	Bombyx mori	1838449765	1455656
308	Eidolon helvum	1830735660	288840
309	Coturnix japonica	1816797283	20236
310	Eptesicus fuscus	1811921294	168062
311	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	1807983447	32039
312	Miniopterus natalensis	1803203810	1455
313	Heliconius elevatus	1800740248	2117298
314	Loxosceles reclusa	1793260596	1317732
315	Aplysia californica	1777845358	1552371
316	Humulus lupulus var. cordifolius	1776138378	292700
317	Ensete ventricosum	1762601180	231581
318	Hibiscus syriacus	1748779157	77527
319	Ictalurus punctatus	1746263407	1260928
320	Malus domestica	1740389076	476931
321	Astyanax mexicanus	1733803138	287214
322	Legionella pneumophila	1733199086	32478
323	Blattella germanica	1726988072	333806
324	Enterococcus faecium	1726061848	140127
325	Megaderma lyra	1715438239	518459
326	Limulus polyphemus	1710967904	478288
327	Lupinus angustifolius	1699153975	353088
328	Condylura cristata	1682622778	84686
329	Penaeus monodon	1682175293	2857400
330	Marsupenaeus japonicus	1663759890	2439422
331	Bathymodiolus platifrons	1658317321	65817
332	Branchiostoma belcheri	1652702190	258455
333	Nicotiana tomentosiformis	1649658046	226265
334	Calopteryx splendens	1644297261	29840
335	Ptychodera flava	1635196953	825774
336	Cenchrus americanus	1618950957	305896
337	Serratia marcescens	1615730804	16917
338	Cephalotus follicularis	1614559575	16335
339	Ophiophagus hannah	1612830394	326492
340	Laupala kohalensis	1605347091	163173
341	Protobothrops mucrosquamatus	1605217822	280287
342	Phaseolus vulgaris	1600144571	976734
343	Apteryx australis mantelli	1595510956	327068
344	Mycobacterium abscessus subsp. massiliense	1577692217	18696
345	Leucoraja erinacea	1575514037	2993833
346	Sinocyclocheilus grahami	1567535308	168264
347	Raphanus sativus	1552530808	463426
348	Arachis ipaensis	1548235552	263375
349	Haplochromis burtoni	1543514185	825836
350	Campylobacter jejuni	1543490171	78590
351	Gossypium raimondii	1541627165	143331
352	Oryzias melastigma	1538101979	1302010
353	Crotalus horridus	1536668752	193390
354	Seriola quinqueradiata	1535412816	104501
355	seawater metagenome	1525992182	1460654
356	Sinocyclocheilus rhinocerous	1521488572	314970
357	Sinocyclocheilus anshuiensis	1512896379	254423
358	Klebsiella pneumoniae subsp. pneumoniae	1511403275	25460
359	Saccharum hybrid cultivar	1500200091	1374285
360	Echinochloa crus-galli	1487220147	4885
361	Nelumbo nucifera	1483465724	113762
362	Neisseria meningitidis	1479954595	105170
363	Silybum marianum	1477779790	258650
364	Amynthas corticis	1476755308	5142590
365	oral metagenome	1443049049	455678
366	Heliconius melpomene amaryllis	1428717723	1846706
367	Girardia tigrina	1428254008	255347
368	Hordeum pubiflorum	1425496924	1818560
369	Anguilla rostrata	1413984644	79481
370	Pantherophis guttatus	1406968580	886224
371	Streptococcus agalactiae	1393896048	83058
372	Python bivittatus	1384739756	274438
373	Silene conica	1381650267	1436070
374	Parasteatoda tepidariorum	1381629369	555099
375	Kryptolebias marmoratus	1377805408	80481
376	Sorghum bicolor	1366573001	1040001
377	Ciconia boyciana	1365158840	505568
378	Heliconius melpomene aglaope	1364856254	1833352
379	Musca domestica	1358954452	531172
380	Xiphophorus maculatus	1358086468	68592
381	Camelina sativa	1348424493	266910
382	Maylandia zebra	1348086521	431657
383	Nannopterum brasilianus	1346220865	266383
384	Heliconius melpomene rosina	1345891994	1674352
385	Halyomorpha halys	1343409069	494773
386	Theobroma cacao	1342849215	207884
387	Homalodisca vitripennis	1336646578	532155
388	Spinacia oleracea	1334402402	381044
389	Puccinia triticina Race 77	1330483119	688275
390	Quercus robur	1320561447	305505
391	Vipera berus berus	1316299245	264272
392	Daphnia magna	1316022289	572465
393	Anas zonorhyncha	1310880233	20290
394	Fundulus heteroclitus	1310598736	391777
395	Limnephilus lunatus	1310534664	114556
396	Dorcoceras hygrometricum	1303737310	535992
397	Hordeum bulbosum	1295253923	2883832
398	Teleopsis dalmanni	1293888009	428474
399	Oryza sativa	1291744536	377785
400	Heliconius cydno chioneus	1288944077	1654665
401	Leptidea sinapis	1286122504	63719
402	Larimichthys crocea	1283467567	82772
403	Ascaris suum	1269406820	614333
404	Grus japonensis	1265759500	357719
405	Olea europaea subsp. europaea	1265515730	59936
406	Spirometra erinaceieuropaei	1264458683	490342
407	Saccharum hybrid cultivar SP80-3280	1258379606	334992
408	Vigna angularis var. angularis	1256317666	47293
409	Strix occidentalis caurina	1255653250	8246
410	Pygocentrus nattereri	1252241855	325812
411	Australostichopus mollis	1252127463	3712660
412	Cimex lectularius	1251795727	104372
413	Philaenus spumarius	1248442579	1823545
414	Nannopterum auritus	1246142862	27677
415	Campylobacter coli	1244831088	37958
416	Solanum tuberosum	1233036260	501011
417	Fagopyrum esculentum	1225651326	477740
418	Bemisia tabaci	1225034777	946920
419	Nicotiana obtusifolia	1222797598	53163
420	Thamnophis sirtalis	1219279525	303254
421	Urile pelagicus	1210692530	20987
422	Vigna unguiculata subsp. unguiculata	1207118072	228419
423	Nannopterum harrisi	1203000822	2664
424	Eleusine coracana subsp. coracana	1196158709	525968
425	Paralichthys olivaceus	1190800625	68599
426	Nipponia nippon	1190717335	130121
427	Cajanus cajan	1189115099	446028
428	Bacillus toyonensis	1187498206	36754
429	Ambystoma mexicanum	1186958003	2220292
430	Charadrius vociferus	1186022993	79251
431	Struthio camelus australis	1184772403	79564
432	Ophionereis fasciata	1184554279	3968313
433	Aptenodytes forsteri	1182856549	83667
434	Uria lomvia	1179522652	9554
435	Micropterus floridanus	1164959849	414408
436	Pygoscelis adeliae	1163221620	115306
437	Asparagus officinalis	1162393510	69336
438	Haliaeetus leucocephalus	1159292574	31856
439	Egretta garzetta	1157888868	100803
440	Pelecanus crispus	1156722482	121585
441	Heliconius pardalinus sergestus	1155731032	721615
442	human gut metagenome	1154943386	727657
443	Falco cherrug	1151742685	77111
444	Lytechinus variegatus	1151719025	574698
445	Heliconius hecale	1149766088	1168248
446	Tauraco erythrolophus	1149486911	136302
447	Phaethon lepturus	1147152546	132140
448	Cathartes aura	1143022330	218575
449	Opisthocomus hoazin	1142716163	111043
450	Olea europaea var. sylvestris	1141008227	41252
451	Anas platyrhynchos platyrhynchos	1136404979	21447
452	Fulmarus glacialis	1136038426	112941
453	Leptosomus discolor	1133191428	113238
454	Phalacrocorax carbo	1131118140	164344
455	Nilaparvata lugens	1130626963	312036
456	Meleagris gallopavo	1130048619	354558
457	Amazona aestiva	1129681114	3468
458	Haliaeetus albicilla	1128501750	111566
459	Amazona vittata	1128269975	295421
460	Cariama cristata	1128022723	112802
461	Podiceps cristatus	1127886847	152340
462	Phoenicopterus ruber ruber	1127812594	137490
463	Serinus canaria	1127436927	358593
464	Crotalus pyrrhus	1126834286	473451
465	Cuculus canorus	1126495452	72021
466	Picoides pubescens	1124217204	128059
467	Balearica regulorum gibbericeps	1123513670	111853
468	Gavia stellata	1122892169	126806
469	Agapornis roseicollis	1121840496	52941
470	Anser brachyrhynchus	1117029090	2797
471	Antrostomus carolinensis	1115288571	126801
472	Gallirallus okinawae	1114554168	768689
473	bioreactor metagenome	1113438402	1368841
474	Tyto alba	1112320753	173335
475	Ficedula albicollis	1110573592	35401
476	Numida meleagris	1104631193	48736
477	Anser cygnoides	1102017621	66404
478	Elaeis oleifera	1100492960	316651
479	Halisarca caerulea	1098870162	1181527
480	Solanum melongena	1093306134	505613
481	Heliconius timareta timareta	1092341970	1325868
482	Patagioenas fasciata monilis	1089182979	9786
483	Callorhinchus milii	1088398590	240792
484	Melopsittacus undulatus	1086817812	71049
485	Anguilla anguilla	1084078383	1036130
486	Anser cygnoides domesticus	1083797501	91965
487	Eurypyga helias	1083793689	116818
488	Mesitornis unicolor	1083532081	119187
489	Phormia regina	1083090658	380103
490	Chlamydotis macqueenii	1083037490	115988
491	wastewater metagenome	1081522748	889485
492	Lonchura striata domestica	1081067804	27986
493	Abrothrix longipilis hirtus	1074203842	1005919
494	Chaetura pelagica	1074176791	84634
495	Ladona fulva	1072810248	46625
496	Colius striatus	1072191033	114673
497	Heliconius elevatus bari	1071566362	913603
498	Sporophila hypoxantha	1067887980	5274
499	Phylloscopus trochilus acredula	1066520242	5999
500	Apaloderma vittatum	1066309077	105662
501	Heliconius pardalinus ssp. n. KMK-2015	1066142055	1190812
502	Pterocles gutturalis	1065738070	107166
503	Dugesia japonica	1061397539	929607
504	Cicer arietinum	1059894325	194388
505	Merops nubicus	1058535089	104164
506	Lepidothrix coronata	1057435268	23856
507	Timema cristinae	1056865504	55890
508	Eisenia fetida	1054386470	1664305
509	Sturnus vulgaris	1053239872	51259
510	Corvus brachyrhynchos	1051858770	89806
511	Nestor notabilis	1049335884	93734
512	Buceros rhinoceros silvestris	1048784356	180805
513	Allium cepa	1048195076	1015332
514	Passer domesticus	1045874763	8266
515	Callipepla squamata	1045348667	34410
516	Rhagoletis zephyria	1045335605	139710
517	Prunus persica	1042612102	393239
518	Geospiza fortis	1041364533	95953
519	Zosterops lateralis melanops	1036005831	2941
520	Acanthisitta chloris	1031308900	120654
521	Pseudopodoces humilis	1030154370	27242
522	Hydroides elegans	1026172343	188666
523	Setaria italica	1024969801	199831
524	Tinamus guttatus	1024879138	142437
525	Opisthorchis viverrini	1024614876	121766
